CSDUID,Population,CSDNAME,Latitude,Longitude,Type,Price,Bedrooms,Bathrooms,Hydro,Heat,Water,Size,Agreement Type
3502044,3920,Casselman,45.3153603,-75.1025348,2.0,"$2,750",Bedrooms: 4,Bathrooms: 2.5,N,0.0,N,"2,000",1 Year
3502044,3920,Casselman,45.3107048,-75.0893653,2.0,"$2,950",Bedrooms: 3,Bathrooms: 2.5,N,0.0,N,"1,781",1 Year
3502044,3920,Casselman,45.3158134,-75.0986758,5.0,"$2,195",Bedrooms: 3,Bathrooms: 2.5,N,0.0,N,"1,800",1 Year
3507006,7304,Augusta,44.6363019,-75.6117005,1.0,"$2,400",Bedrooms: 2,Bathrooms: 1,N,0.0,Y,"1,600",1 Year
3507008,4647,Prescott,44.709294,-75.518972,1.0,"$1,400",Bedrooms: 2,Bathrooms: 1,Y,1.0,Y,550,1 Year
3507008,4647,Prescott,44.7132253,-75.5136699,6.0,"$1,800",Bedrooms: 2,Bathrooms: 1,N,0.0,N,650,1 Year
3507008,4647,Prescott,44.7082421,-75.5184331,2.0,"$1,525",Bedrooms: 2,Bathrooms: 1,Y,0.0,N,900,1 Year
3507014,9871,Elizabethtown-Kitley,44.6749919,-75.7333365,2.0,"$2,250",Bedrooms: 3 + Den,Bathrooms: 1.5,Y,1.0,Y,"2,000",1 Year
3507014,9871,Elizabethtown-Kitley,44.6282791,-75.7649202,1.0,$895,Bedrooms: 1,Bathrooms: 1,N,0.0,Y,700,1 Year
3507014,9871,Elizabethtown-Kitley,44.5764035,-75.7841209,1.0,"$1,800",Bedrooms: 2,Bathrooms: 1,N,0.0,Y,870,1 Year
3507014,9871,Elizabethtown-Kitley,44.6749919,-75.7333365,6.0,"$1,400",Bedrooms: 2,Bathrooms: 1,N,0.0,Y,500,Month-to-month
3507021,9635,Leeds and the Thousand Islands,44.3719057,-76.01635,2.0,"$1,850",Bedrooms: 2,Bathrooms: 1,N,0.0,N,850,1 Year
3507021,9635,Leeds and the Thousand Islands,44.550535,-76.12412,2.0,"$2,900",Bedrooms: 3 + Den,Bathrooms: 3.5,N,0.0,Y,"3,900",Month-to-month
3507024,5524,Gananoque,44.3367602,-76.1691133,2.0,"$1,680",Bedrooms: 4,Bathrooms: 1,N,0.0,Y,1,1 Year
3507024,5524,Gananoque,44.3300472,-76.1649044,1.0,"$2,200",Bedrooms: 2,Bathrooms: 1,Y,1.0,Y,900,Month-to-month
3507024,5524,Gananoque,44.327181,-76.1701288,1.0,"$1,350",Bedrooms: 2,Bathrooms: 1,N,0.0,N,900,1 Year
3507024,5524,Gananoque,44.3290808,-76.1638843,1.0,"$1,500",Bedrooms: 1 + Den,Bathrooms: 1,N,0.0,N,"1,100",1 Year
3507024,5524,Gananoque,44.3363949,-76.1527723,1.0,"$2,000",Bedrooms: 2,Bathrooms: 1,N,0.0,N,850,1 Year
3507024,5524,Gananoque,44.3303201,-76.1705373,2.0,"$1,980",Bedrooms: 2,Bathrooms: 1,N,0.0,N,900,Month-to-month
3507052,3378,Merrickville-Wolford,44.9125467,-75.8359387,1.0,"$1,650",Bedrooms: 1,Bathrooms: 1,N,0.0,Y,Not Available,1 Year
3507052,3378,Merrickville-Wolford,44.832934,-75.933972,2.0,"$1,700",Bedrooms: 2,Bathrooms: 1.5,Y,1.0,Y,"1,200",1 Year
3509001,4221,Montague,44.9063407,-76.0052755,6.0,"$1,950",Bedrooms: 2,Bathrooms: 1,Y,0.0,Y,"1,150",1 Year
3509001,4221,Montague,44.9015951,-76.0052481,2.0,"$2,800",Bedrooms: 4,Bathrooms: 1.5,N,0.0,Y,"1,300",1 Year
3509004,9376,Smiths Falls,44.9074632,-76.0188706,1.0,"$1,800",Bedrooms: 3,Bathrooms: 1,N,0.0,Y,"1,200",1 Year
3509004,9376,Smiths Falls,44.9054731,-76.0207819,6.0,"$1,700",Bedrooms: 2,Bathrooms: 1,N,1.0,Y,Not Available,1 Year
3509004,9376,Smiths Falls,44.9048938,-76.0213512,1.0,"$1,300",Bedrooms: 2,Bathrooms: 1,N,0.0,Y,600,1 Year
3509004,9376,Smiths Falls,44.9037324,-76.0211055,1.0,"$1,250",Bedrooms: 1,Bathrooms: 1,N,0.0,Y,700,1 Year
3509004,9376,Smiths Falls,44.9021881,-76.0178453,1.0,"$1,599",Bedrooms: 2 + Den,Bathrooms: 1,N,0.0,Y,875,1 Year
3509004,9376,Smiths Falls,44.9021881,-76.0178453,1.0,"$1,599",Bedrooms: 2,Bathrooms: 1,N,0.0,Y,875,1 Year
3509004,9376,Smiths Falls,44.9021881,-76.0178453,1.0,"$1,300",Bedrooms: 1,Bathrooms: 1,N,0.0,Y,750,1 Year
3509004,9376,Smiths Falls,44.9021468,-76.0093988,2.0,"$2,200",Bedrooms: 3,Bathrooms: 2,Y,1.0,Y,"1,500",1 Year
3509004,9376,Smiths Falls,44.9017105,-76.0152777,2.0,"$2,250",Bedrooms: 4,Bathrooms: 1.5,N,0.0,N,"1,300",1 Year
3509004,9376,Smiths Falls,44.900114,-76.016722,1.0,"$1,700",Bedrooms: 2,Bathrooms: 1,N,1.0,Y,900,1 Year
3509004,9376,Smiths Falls,44.8926892,-76.0201637,2.0,"$2,500",Bedrooms: 3,Bathrooms: 2.5,N,0.0,N,"2,000",1 Year
3509004,9376,Smiths Falls,44.8917203,-76.0160992,1.0,"$1,800",Bedrooms: 2,Bathrooms: 1,N,1.0,Y,700,1 Year
3509004,9376,Smiths Falls,44.8863859,-76.0116168,5.0,"$2,050",Bedrooms: 3,Bathrooms: 1,N,0.0,Y,"1,650",1 Year
3509004,9376,Smiths Falls,44.8861214,-76.0126209,4.0,"$2,095",Bedrooms: 2,Bathrooms: 2,N,0.0,Y,"2,005",1 Year
3509004,9376,Smiths Falls,44.8935346,-76.0227903,1.0,"$1,050",Bedrooms: Bachelor/Studio,Bathrooms: 1,N,0.0,Y,450,1 Year
3509004,9376,Smiths Falls,44.8863304,-76.0198572,1.0,"$1,950",Bedrooms: 2,Bathrooms: 1,Y,1.0,Y,900,1 Year
3509004,9376,Smiths Falls,44.9003249,-76.0209583,1.0,"$1,500",Bedrooms: 2,Bathrooms: 1,N,1.0,Y,650,1 Year
3509004,9376,Smiths Falls,44.8979857,-76.0097576,1.0,"$1,450",Bedrooms: 1,Bathrooms: 1,Y,1.0,Y,1,Month-to-month
3509004,9376,Smiths Falls,44.8993491,-76.014123,1.0,"$1,650",Bedrooms: 1,Bathrooms: 1,N,0.0,N,575,1 Year
3509004,9376,Smiths Falls,44.903748,-76.0216189,1.0,"$2,000",Bedrooms: 1,Bathrooms: 1.5,Y,1.0,Y,"1,000",Month-to-month
3509004,9376,Smiths Falls,44.8985028,-76.0148769,1.0,"$2,500",Bedrooms: 1 + Den,Bathrooms: 1,N,1.0,Y,830,1 Year
3509004,9376,Smiths Falls,44.8985028,-76.0148769,1.0,"$3,200",Bedrooms: 2 + Den,Bathrooms: 2,N,1.0,Y,"1,235",1 Year
3509004,9376,Smiths Falls,44.9056442,-76.0181622,1.0,"$1,300",Bedrooms: 1,Bathrooms: 1,N,0.0,N,400,1 Year
3509004,9376,Smiths Falls,44.9003906,-76.0215257,1.0,"$1,400",Bedrooms: 2,Bathrooms: 1,N,0.0,N,500,1 Year
3509004,9376,Smiths Falls,44.903748,-76.0216189,1.0,"$1,050",Bedrooms: Bachelor/Studio,Bathrooms: 1,N,1.0,Y,450,1 Year
3509004,9376,Smiths Falls,44.8852325,-76.0129163,4.0,"$1,465",Bedrooms: 1,Bathrooms: 1,N,0.0,Y,600,1 Year
3509004,9376,Smiths Falls,44.8863859,-76.0116168,5.0,"$1,900",Bedrooms: 3,Bathrooms: 1,N,0.0,Y,1,1 Year
3509004,9376,Smiths Falls,44.8849217,-76.0295733,5.0,"$2,350",Bedrooms: 3,Bathrooms: 2.5,N,0.0,N,"2,300",1 Year
3509004,9376,Smiths Falls,44.9040982,-76.0213659,5.0,"$2,250",Bedrooms: 3,Bathrooms: 1.5,Y,0.0,N,"1,200",1 Year
3509015,5845,Tay Valley,44.8809198,-76.2585282,2.0,"$1,150",Bedrooms: 2,Bathrooms: 2.5,Y,1.0,Y,"2,400",Month-to-month
3509021,6824,Perth,44.9158324,-76.2649881,1.0,"$2,050",Bedrooms: 1,Bathrooms: 1,Y,1.0,Y,659,1 Year
3509021,6824,Perth,44.9094211,-76.2493473,2.0,"$2,250",Bedrooms: 3,Bathrooms: 1,N,0.0,N,"1,162",1 Year
3509021,6824,Perth,44.908259,-76.2542227,1.0,"$2,100",Bedrooms: 3,Bathrooms: 2,N,0.0,Y,"1,200",1 Year
3509021,6824,Perth,44.906603,-76.2623281,1.0,$725,Bedrooms: Bachelor/Studio,Bathrooms: 1,Y,1.0,Y,190,Month-to-month
3509021,6824,Perth,44.9021864,-76.2533037,1.0,$899,Bedrooms: 2,Bathrooms: 1,N,0.0,Y,800,1 Year
3509021,6824,Perth,44.9021404,-76.2497449,1.0,"$2,100",Bedrooms: 3,Bathrooms: 1,N,1.0,N,"1,080",1 Year
3509021,6824,Perth,44.9018916,-76.2452974,6.0,"$1,625",Bedrooms: 2,Bathrooms: 1.5,N,0.0,Y,"1,100",Month-to-month
3509021,6824,Perth,44.8988097,-76.2485592,2.0,$750,Bedrooms: 4,Bathrooms: 3,Y,1.0,Y,"2,500",Month-to-month
3509021,6824,Perth,44.8982165,-76.2527744,1.0,"$1,250",Bedrooms: 1,Bathrooms: 1,N,0.0,Y,450,Month-to-month
3509021,6824,Perth,44.8988097,-76.2485592,1.0,"$1,250",Bedrooms: 2,Bathrooms: 1,N,0.0,Y,800,Month-to-month
3509021,6824,Perth,44.9039275,-76.2472626,2.0,"$1,550",Bedrooms: 2,Bathrooms: 2,N,1.0,Y,Not Available,1 Year
3509024,9172,Beckwith,45.0940335,-76.1499828,2.0,"$2,450",Bedrooms: 3 + Den,Bathrooms: 2,N,0.0,Y,"1,200",1 Year
3509024,9172,Beckwith,45.1161185,-76.1321298,2.0,"$3,500",Bedrooms: 3,Bathrooms: 1.5,N,0.0,Y,"2,000",1 Year
3509024,9172,Beckwith,45.129273,-76.1146212,5.0,"$2,350",Bedrooms: 3,Bathrooms: 3,N,0.0,N,"2,064",1 Year
3509039,5893,Lanark Highlands,45.2609245,-76.4833771,5.0,"$2,265",Bedrooms: 2,Bathrooms: 1.5,N,1.0,Y,"1,250",1 Year
3509039,5893,Lanark Highlands,45.0169248,-76.3662373,1.0,"$1,500",Bedrooms: 2,Bathrooms: 1,N,0.0,Y,"1,000",1 Year
3509039,5893,Lanark Highlands,45.0207049,-76.4635615,1.0,"$1,330",Bedrooms: 1,Bathrooms: 1,Y,1.0,Y,600,1 Year
3510005,1808,Frontenac Islands,44.1781536,-76.4232917,2.0,"$2,350",Bedrooms: 3,Bathrooms: 2,N,0.0,Y,"1,300",1 Year
3510035,4683,Central Frontenac,44.7694959,-76.689392,2.0,$800,Bedrooms: Bachelor/Studio,Bathrooms: 1,Y,1.0,Y,325,1 Year
3511035,2304,Addington Highlands,44.7345898,-77.1245957,2.0,"$1,800",Bedrooms: 2 + Den,Bathrooms: 1,N,0.0,Y,800,Month-to-month
3511035,2304,Addington Highlands,44.647803,-77.121419,2.0,$850,Bedrooms: 1,Bathrooms: 1,N,0.0,Y,700,1 Year
3512020,5284,Stirling-Rawdon,44.3021721,-77.55081623,1.0,$925,Bedrooms: 1,Bathrooms: 1,N,1.0,Y,1,1 Year
3512020,5284,Stirling-Rawdon,44.2961831,-77.5474752,2.0,"$2,695",Bedrooms: 3,Bathrooms: 2,N,0.0,N,"1,400",1 Year
3512020,5284,Stirling-Rawdon,44.2961831,-77.5474752,1.0,"$2,100",Bedrooms: 3,Bathrooms: 1,N,0.0,Y,850,1 Year
3512020,5284,Stirling-Rawdon,44.2961831,-77.5474752,1.0,"$1,400",Bedrooms: 1,Bathrooms: 1,N,0.0,Y,500,1 Year
3512020,5284,Stirling-Rawdon,44.2947665,-77.555252,2.0,"$2,000",Bedrooms: 3,Bathrooms: 1,Y,1.0,Y,"1,614",Month-to-month
3512026,4911,Centre Hastings,44.5068726,-77.4726289,2.0,"$3,500",Bedrooms: 5+,Bathrooms: 4,N,0.0,N,"2,600",1 Year
3512026,4911,Centre Hastings,44.5025516,-77.4757575,6.0,"$1,200",Bedrooms: 2 + Den,Bathrooms: 1,Y,1.0,Y,850,1 Year
3512030,6393,Tweed,44.7175773,-77.4338702,6.0,"$1,360",Bedrooms: 1 + Den,Bathrooms: 1,Y,1.0,Y,800,1 Year
3512046,4303,Marmora and Lake,44.4869907,-77.6756531,6.0,"$1,800",Bedrooms: 2 + Den,Bathrooms: 1,N,0.0,N,"1,500",1 Year
3512046,4303,Marmora and Lake,44.482947,-77.682106,1.0,"$1,175",Bedrooms: 1,Bathrooms: 1,Y,1.0,Y,550,1 Year
3512046,4303,Marmora and Lake,44.482947,-77.682106,1.0,"$1,300",Bedrooms: 1,Bathrooms: 1,Y,1.0,Y,"1,000",Month-to-month
3512061,4147,Bancroft,45.0558574,-77.8548814,2.0,"$2,750",Bedrooms: 3 + Den,Bathrooms: 2.5,Y,1.0,Y,"2,000",Month-to-month
3512061,4147,Bancroft,45.0558574,-77.8548814,2.0,"$2,350",Bedrooms: 3 + Den,Bathrooms: 2,N,0.0,N,"1,500",1 Year
3514014,6814,Cramahe,44.0067089,-77.8815509,1.0,"$1,600",Bedrooms: 1 + Den,Bathrooms: 1,N,0.0,N,700,Month-to-month
3514024,7801,Alnwick/Haldimand,44.0583528,-78.0880129,1.0,"$1,595",Bedrooms: 1,Bathrooms: 1,Y,1.0,Y,900,1 Year
3515003,4950,Asphodel-Norwood,44.382419,-77.979918,1.0,"$1,500",Bedrooms: 1,Bathrooms: 1,N,0.0,Y,800,1 Year
3515003,4950,Asphodel-Norwood,44.3757039,-77.9719687,6.0,"$2,250",Bedrooms: 3,Bathrooms: 1,Y,1.0,Y,900,1 Year
3515003,4950,Asphodel-Norwood,44.382419,-77.979918,2.0,"$2,550",Bedrooms: 3,Bathrooms: 2,Y,1.0,Y,"1,670",1 Year
3515003,4950,Asphodel-Norwood,44.382419,-77.979918,2.0,"$2,550",Bedrooms: 3,Bathrooms: 2,Y,1.0,Y,"1,612",1 Year
3515005,7105,Otonabee-South Monaghan,44.3079455,-78.2362225,2.0,"$2,500",Bedrooms: 3,Bathrooms: 1.5,N,0.0,N,"1,126",1 Year
3515005,7105,Otonabee-South Monaghan,44.2447345,-78.1678439,2.0,"$2,500",Bedrooms: 3,Bathrooms: 3,N,0.0,Y,"2,500",1 Year
3515005,7105,Otonabee-South Monaghan,44.343814,-78.141317,2.0,"$2,000",Bedrooms: 2,Bathrooms: 1,N,0.0,N,800,1 Year
3515030,5092,Havelock-Belmont-Methuen,44.5584341,-77.8667906,1.0,"$1,450",Bedrooms: 2,Bathrooms: 1,N,0.0,N,850,1 Year
3515044,5869,Trent Lakes,44.6255582,-78.5087752,1.0,"$2,150",Bedrooms: Bachelor/Studio,Bathrooms: 1,Y,1.0,Y,360,Month-to-month
3522001,2926,East Garafraxa,43.8745087,-80.2844218,3.0,"$1,100",Bedrooms: 2,Bathrooms: 1,Y,1.0,Y,500,Month-to-month
3522008,4629,Amaranth,44.0126221,-80.154806,1.0,"$2,000",Bedrooms: 1,Bathrooms: 1,Y,1.0,Y,750,1 Year
3522008,4629,Amaranth,44.0062592,-80.1679758,1.0,"$1,500",Bedrooms: 1,Bathrooms: 1,Y,1.0,Y,800,Month-to-month
3522016,3940,Mulmur,44.197413,-80.0583819,1.0,"$2,900",Bedrooms: 2 + Den,Bathrooms: 1,Y,1.0,Y,"1,100",Month-to-month
3523001,7634,Puslinch,43.4900953,-80.2610563,3.0,"$1,650",Bedrooms: 1,Bathrooms: 1,Y,1.0,Y,"1,200",1 Year
3523001,7634,Puslinch,43.4651067,-80.1372757,2.0,"$2,300",Bedrooms: 3 + Den,Bathrooms: 1,N,0.0,Y,"2,000",1 Year
3523001,7634,Puslinch,43.432922,-80.097349,2.0,"$1,950",Bedrooms: 1,Bathrooms: 1,N,0.0,N,"1,100",1 Year
3523001,7634,Puslinch,43.432922,-80.097349,2.0,"$3,200",Bedrooms: 4,Bathrooms: 3,N,0.0,N,"1,850",1 Year
3523001,7634,Puslinch,43.4646186,-80.1948112,3.0,"$2,400",Bedrooms: 2,Bathrooms: 1,N,0.0,N,700,1 Year
3523001,7634,Puslinch,43.4543559,-80.1098587,3.0,"$1,900",Bedrooms: 1,Bathrooms: 1,Y,1.0,Y,"1,200",1 Year
3523001,7634,Puslinch,43.432922,-80.097349,2.0,"$3,250",Bedrooms: 4,Bathrooms: 2.5,Y,1.0,Y,"2,800",1 Year
3523001,7634,Puslinch,43.432922,-80.097349,2.0,"$3,250",Bedrooms: 4,Bathrooms: 2.5,Y,1.0,Y,"2,500",1 Year
3523043,9652,Minto,43.8572672,-80.7879407,1.0,"$1,295",Bedrooms: 1,Bathrooms: 1,N,0.0,Y,600,1 Year
3523043,9652,Minto,43.8339361,-80.8461255,1.0,"$1,500",Bedrooms: 1,Bathrooms: 1,N,1.0,Y,750,1 Year
3526014,6914,Wainfleet,42.925755,-79.3834109,2.0,"$1,300",Bedrooms: 2 + Den,Bathrooms: 1,Y,1.0,Y,"1,000",Month-to-month
3531013,3850,Perth South,43.4038428,-81.0616015,1.0,"$1,200",Bedrooms: 1,Bathrooms: 1,N,0.0,Y,800,1 Year
3531016,7916,St. Marys,43.2619202,-81.1398039,1.0,"$1,550",Bedrooms: 1,Bathrooms: 1,N,0.0,N,600,1 Year
3531016,7916,St. Marys,43.2619202,-81.1398039,1.0,"$1,550",Bedrooms: 1,Bathrooms: 1,N,0.0,N,600,1 Year
3531016,7916,St. Marys,43.2675408,-81.140286,2.0,$700,Bedrooms: 3,Bathrooms: 2.5,Y,1.0,Y,"1,800",Month-to-month
3531016,7916,St. Marys,43.2675408,-81.140286,5.0,"$2,600",Bedrooms: 3,Bathrooms: 3,N,0.0,N,1,1 Year
3531025,9672,West Perth,43.466763,-81.19611,1.0,"$1,200",Bedrooms: 1,Bathrooms: 1,Y,1.0,Y,600,Month-to-month
3531025,9672,West Perth,43.466763,-81.19611,1.0,"$1,400",Bedrooms: 1,Bathrooms: 1,Y,1.0,Y,700,Month-to-month
3531025,9672,West Perth,43.4680977,-81.1979393,1.0,"$1,449",Bedrooms: 1,Bathrooms: 1,Y,1.0,Y,800,1 Year
3532012,8338,South-West Oxford,43.0249622,-80.7768613,2.0,"$3,100",Bedrooms: 4,Bathrooms: 3.5,N,0.0,N,"2,000",1 Year
3532012,8338,South-West Oxford,43.0249622,-80.7768613,1.0,$895,Bedrooms: 1,Bathrooms: 1,N,0.0,N,450,1 Year
3532012,8338,South-West Oxford,42.9951479,-80.7657804,5.0,"$2,600",Bedrooms: 3,Bathrooms: 2.5,N,0.0,N,"1,600",1 Year
3532012,8338,South-West Oxford,43.0765852,-80.7602394,2.0,"$3,000",Bedrooms: 3,Bathrooms: 2,N,0.0,N,"2,200",1 Year
3532012,8338,South-West Oxford,43.0765852,-80.7602394,2.0,"$3,000",Bedrooms: 3,Bathrooms: 2,N,0.0,N,"2,200",1 Year
3532027,9107,Zorra,43.0578881,-80.9994785,5.0,"$2,500",Bedrooms: 3,Bathrooms: 2.5,N,0.0,N,"1,423",Month-to-month
3532027,9107,Zorra,43.0829435,-81.0202533,1.0,"$3,000",Bedrooms: 4 + Den,Bathrooms: 4,Y,1.0,Y,"2,500",1 Year
3532027,9107,Zorra,43.0829435,-81.0202533,3.0,"$1,300",Bedrooms: 1,Bathrooms: 1,Y,1.0,Y,800,Month-to-month
3532027,9107,Zorra,43.0578881,-80.9994785,2.0,"$2,700",Bedrooms: 4,Bathrooms: 2.5,N,0.0,N,"2,338",1 Year
3532027,9107,Zorra,43.1556566,-80.9010627,2.0,"$2,100",Bedrooms: 3,Bathrooms: 1,N,0.0,N,"1,200",1 Year
3532027,9107,Zorra,43.0521061,-80.9990287,5.0,"$2,300",Bedrooms: 3,Bathrooms: 2.5,N,0.0,N,"1,400",Month-to-month
3532038,8270,East Zorra-Tavistock,43.3239161,-80.8339245,2.0,"$2,775",Bedrooms: 4,Bathrooms: 2.5,N,0.0,N,"2,009",1 Year
3532038,8270,East Zorra-Tavistock,43.2155199,-80.754698,2.0,"$3,000",Bedrooms: 5+,Bathrooms: 2,Y,1.0,Y,"3,400",1 Year
3532038,8270,East Zorra-Tavistock,43.3188405,-80.8352309,1.0,$850,Bedrooms: 1,Bathrooms: 1,Y,1.0,Y,650,1 Year
3532038,8270,East Zorra-Tavistock,43.2025544,-80.6966239,2.0,"$3,000",Bedrooms: 3 + Den,Bathrooms: 2,N,0.0,N,"1,900",1 Year
3532038,8270,East Zorra-Tavistock,43.2101343,-80.6965664,2.0,"$2,400",Bedrooms: 3,Bathrooms: 2.5,N,0.0,N,"1,800",1 Year
3532038,8270,East Zorra-Tavistock,43.2155199,-80.754698,2.0,"$2,700",Bedrooms: 3,Bathrooms: 3,N,0.0,N,"2,200",1 Year
3532045,8303,Blandford-Blenheim,43.3317599,-80.593833,1.0,"$1,300",Bedrooms: 1,Bathrooms: 1,Y,1.0,Y,600,1 Year
3532045,8303,Blandford-Blenheim,43.1664266,-80.6826254,5.0,"$2,500",Bedrooms: 3,Bathrooms: 2.5,N,0.0,N,"1,670",1 Year
3532045,8303,Blandford-Blenheim,43.2082785,-80.6659842,5.0,"$1,900",Bedrooms: 3,Bathrooms: 1,N,0.0,N,"1,400",Month-to-month
3534005,8458,Bayham,42.6478043,-80.8003197,2.0,"$2,400",Bedrooms: 3 + Den,Bathrooms: 1,Y,1.0,Y,"1,500",1 Year
3534011,8274,Aylmer,42.7769012,-80.9866757,1.0,"$1,000",Bedrooms: 1,Bathrooms: 1,Y,1.0,Y,800,1 Year
3534011,8274,Aylmer,42.7784414,-80.9879707,1.0,"$1,450",Bedrooms: 2,Bathrooms: 1,N,0.0,N,750,1 Year
3534011,8274,Aylmer,42.7778793,-80.9879757,4.0,"$1,750",Bedrooms: 2,Bathrooms: 1,Y,1.0,Y,900,1 Year
3534024,4990,Southwold,42.7944119,-81.2849169,2.0,"$3,100",Bedrooms: 4,Bathrooms: 2.5,N,0.0,N,"2,450",1 Year
3534024,4990,Southwold,42.7944119,-81.2849169,2.0,"$2,700",Bedrooms: 2,Bathrooms: 2,N,0.0,N,"1,508",1 Year
3534024,4990,Southwold,42.779457,-81.2794123,2.0,"$2,200",Bedrooms: 4,Bathrooms: 3,N,0.0,N,"2,140",1 Year
3534024,4990,Southwold,42.779457,-81.2794123,2.0,"$2,900",Bedrooms: 4,Bathrooms: 3,Y,1.0,Y,"2,140",1 Year
3534024,4990,Southwold,42.7944119,-81.2849169,2.0,"$3,000",Bedrooms: 4,Bathrooms: 2.5,N,0.0,N,"2,400",1 Year
3534042,5215,West Elgin,42.603779,-81.606653,6.0,"$1,900",Bedrooms: 3,Bathrooms: 1,N,1.0,Y,"1,800",1 Year
3538015,2337,Brooke-Alvinston,42.8216831,-81.8662509,5.0,"$1,399",Bedrooms: 2,Bathrooms: 1.5,N,0.0,N,"1,000",1 Year
3538015,2337,Brooke-Alvinston,42.8216831,-81.8662509,5.0,"$1,399",Bedrooms: 2,Bathrooms: 1.5,N,0.0,N,"1,000",1 Year
3538015,2337,Brooke-Alvinston,42.8163543,-81.8626439,2.0,"$2,150",Bedrooms: 3,Bathrooms: 2,N,1.0,Y,"1,100",1 Year
3538015,2337,Brooke-Alvinston,42.821653,-81.865349,5.0,"$1,450",Bedrooms: 2,Bathrooms: 1.5,N,0.0,N,"1,000",1 Year
3538015,2337,Brooke-Alvinston,42.821653,-81.865349,5.0,"$1,450",Bedrooms: 2,Bathrooms: 1.5,N,0.0,N,"1,000",1 Year
3538019,6129,Petrolia,42.8848176,-82.1493924,1.0,"$1,450",Bedrooms: 2,Bathrooms: 1,N,0.0,Y,900,1 Year
3538019,6129,Petrolia,42.8816227,-82.150795,6.0,"$1,500",Bedrooms: 2,Bathrooms: 1,N,0.0,N,900,1 Year
3538019,6129,Petrolia,42.8818379,-82.1444338,1.0,"$1,450",Bedrooms: 2,Bathrooms: 1,N,0.0,Y,850,1 Year
3538019,6129,Petrolia,42.8818379,-82.1444338,5.0,"$1,599",Bedrooms: 2,Bathrooms: 1,N,0.0,N,"1,500",1 Year
3538031,2019,Point Edward,43.0003448,-82.4131423,3.0,"$1,800",Bedrooms: 2,Bathrooms: 1,Y,1.0,Y,900,1 Year
3538031,2019,Point Edward,42.9980987,-82.4148572,1.0,"$1,200",Bedrooms: 1,Bathrooms: 1,Y,1.0,Y,Not Available,1 Year
3538031,2019,Point Edward,42.9898142,-82.398172,2.0,"$2,695",Bedrooms: 4,Bathrooms: 1.5,N,0.0,N,Not Available,1 Year
3538035,8850,Plympton-Wyoming,42.9797265,-82.1180045,2.0,"$3,000",Bedrooms: 4 + Den,Bathrooms: 2.5,N,0.0,N,"1,000",1 Year
3538035,8850,Plympton-Wyoming,42.9576238,-82.0625052,2.0,"$2,250",Bedrooms: 2,Bathrooms: 2,N,0.0,N,"1,300",1 Year
3539041,6741,North Middlesex,43.2148319,-81.7160897,2.0,"$4,500",Bedrooms: 4,Bathrooms: 3,N,0.0,N,"2,000",1 Year
3539041,6741,North Middlesex,43.1470282,-81.5337693,3.0,"$1,600",Bedrooms: 1,Bathrooms: 1,Y,1.0,Y,900,Month-to-month
3539060,5832,Lucan Biddulph,43.1879263,-81.4052746,1.0,"$1,399",Bedrooms: 2,Bathrooms: 1,N,1.0,Y,Not Available,1 Year
